Name,IC50,SMILES
4100,11,c1cc(ccc1)-n1c2c(c(=O)n(cn2)CC2(O)CCN(CC2)C(=O)[C@@H]2CCCC([C@H]2c2ccccc2)(F)F)cc1
4100,11,C(c1c(nc2-c3c(cc(c(OC)c3)OC)C(=O)c2n1)C#N)#N
4101,11,c12ccc(cc2ncn(CC2(O)CCN(CC2)C(=O)CC(c2ccccc2)C)c1=O)NCc1occc1
4101,11,[C@H]1(c2ccccc2)[C@@H](CCCC1(F)F)C(N1CCC(Cn2cnc3c(ccn3-c3ccccc3)c2=O)(CC1)O)=O
4101,11,c1c(-c2c3c(c(=O)n(cn3)CC3(O)CCN(CC3)C(=O)[C@@H]3CCC(F)(C[C@H]3c3cscn3)F)cs2)cccc1
4101,11,O=C1c2c(nc(c(C#N)n2)C#N)-c2cc(OC)c(OC)cc12
4101,11,C1CN(C(=O)[C@@H]2CC(F)(CC[C@H]2c2ccccc2)F)CCC1(O)Cn1c(c2c(c(-c3ccccc3)sc2)nc1)=O
4102,11,C1CN(C(CC(C)c2ccccc2)=O)CCC1(Cn1c(c2ccc(NCc3ccco3)cc2nc1)=O)O
4102,11,C(C1(CCN(CC1)C([C@@H]1CCCC(F)([C@H]1c1ccccc1)F)=O)O)n1c(c2c(n(cc2)-c2ccccc2)nc1)=O
4102,11,[C@H]1(C(=O)N2CCC(Cn3cnc4c(scc4c3=O)-c3ccccc3)(O)CC2)[C@H](c2ccccc2)CCC(F)(F)C1
4103,11,c1c(cccc1)C(C)CC(N1CCC(Cn2cnc3cc(ccc3c2=O)NCc2ccco2)(O)CC1)=O
4103,11,c1cccc(c1)-n1c2ncn(CC3(CCN(C(=O)[C@@H]4CCCC([C@H]4c4ccccc4)(F)F)CC3)O)c(=O)c2cc1
4103,11,C1(=O)c2c(-c3c1nc(C#N)c(C#N)n3)cc(OC)c(OC)c2
4103,11,C1(C[C@@H](C(=O)N2CCC(CC2)(O)Cn2cnc3c(c2=O)csc3-c2ccccc2)[C@H](c2ccccc2)CC1)(F)F
4104,11,C1C(Cn2c(c3ccc(cc3nc2)NCc2ccco2)=O)(CCN(C(CC(C)c2ccccc2)=O)C1)O
4104,11,n1c2n(-c3ccccc3)ccc2c(n(c1)CC1(CCN(C([C@@H]2CCCC([C@H]2c2ccccc2)(F)F)=O)CC1)O)=O
4104,11,N#Cc1nc2-c3cc(c(OC)cc3C(c2nc1C#N)=O)OC
4104,11,FC1(F)C[C@@H](C(N2CCC(Cn3cnc4c(scc4c3=O)-c3ccccc3)(CC2)O)=O)[C@H](c2ccccc2)CC1
4105,11,c1(C(CC(=O)N2CCC(Cn3c(c4ccc(cc4nc3)NCc3occc3)=O)(CC2)O)C)ccccc1
4105,11,c1ccc(cc1)-n1c2c(c(=O)n(CC3(CCN(CC3)C(=O)[C@@H]3CCCC([C@H]3c3ccccc3)(F)F)O)cn2)cc1
4105,11,C1(F)(F)CC[C@H]([C@@H](C1)c1cscn1)C(=O)N1CCC(CC1)(O)Cn1c(=O)c2c(c(-c3ccccc3)sc2)nc1
