SMILES,Name,IC50,Unit
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCCC4=O)sc23)c1OC1CCNCC1,113,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CC5(CCCC5)CC4=O)sc23)c1OC1CCNCC1,114,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCCC4=O)sc23)c1OC1CCCNC1,115,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(C(C)N4C(=O)CCC4=O)sc23)c1OC1CCCNC1,116,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3c(F)c(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1,117,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CNCCC1C,118,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCCNC1,119,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1OC1CCCNC1,120,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCC(N2CCOCC2)C1,121,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CSC4=O)sc23)c1OC1CCCNC1,122,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CSC4=O)sc23)c1OC1CCCNC1,123,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCCNC1,124,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCN(C)C4=O)sc23)c1OC1CCCNC1,125,0.5,¦ÌM
Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1,126,0.5,¦ÌM
